,Time,Sentiment,Price
0,2019/01/01 18:35,0.09745582418573487,3767.70696441
1,2019/01/01 18:36,0.09561794254941844,3767.70696441
2,2019/01/01 18:37,0.09561794254941844,3767.70696441
3,2019/01/01 18:38,0.09561794254941844,3768.42250828
4,2019/01/01 18:39,0.09561794254941844,3768.42250828
5,2019/01/01 18:40,0.09561794254941844,3768.42250828
6,2019/01/01 18:41,0.09561794254941844,3764.16956952
7,2019/01/01 18:42,0.09745582418573487,3764.16956952
8,2019/01/01 18:43,0.09807399096002037,3764.16956952
9,2019/01/01 18:44,0.09807399096002037,3772.65629547
10,2019/01/01 18:45,0.09807399096002037,3772.65629547
11,2019/01/01 18:46,0.09807399096002037,3771.07237488
12,2019/01/01 18:47,0.09807399096002037,3771.07237488
13,2019/01/01 18:48,0.10129406083257826,3771.07237488
14,2019/01/01 18:49,0.09660340272472624,3763.30900225
15,2019/01/01 18:50,0.09232532785841607,3763.30900225
16,2019/01/01 18:51,0.09232532785841607,3763.30900225
17,2019/01/01 18:52,0.08644297491723961,3763.31166598
18,2019/01/01 18:53,0.08644297491723961,3763.31166598
19,2019/01/01 18:54,0.08644297491723961,3763.31166598
20,2019/01/01 18:55,0.08644297491723961,3762.90305611
21,2019/01/01 18:56,0.0860231782106782,3762.90305611
22,2019/01/01 18:57,0.0860231782106782,3762.90305611
23,2019/01/01 18:58,0.0860231782106782,3769.14993534
24,2019/01/01 18:59,0.0860231782106782,3769.14993534
25,2019/01/01 19:00,0.0860231782106782,3769.14993534
26,2019/01/01 19:02,0.0860231782106782,3765.81938066
27,2019/01/01 19:03,0.0860231782106782,3765.81938066
28,2019/01/01 19:04,0.0860231782106782,3763.68379042
29,2019/01/01 19:05,0.08326361730125935,3763.68379042
30,2019/01/01 19:06,0.0842206703736876,3763.68379042
31,2019/01/01 19:07,0.0842206703736876,3762.95582237
32,2019/01/01 19:08,0.0842206703736876,3762.95582237
33,2019/01/01 19:09,0.08702239451161864,3762.95582237
34,2019/01/01 19:10,0.08702239451161864,3766.77256803
35,2019/01/01 19:11,0.08702239451161864,3766.77256803
36,2019/01/01 19:12,0.08127526807483704,3766.77256803
37,2019/01/01 19:13,0.08127526807483704,3767.76582156
38,2019/01/01 19:14,0.08127526807483704,3767.76582156
39,2019/01/01 19:15,0.08127526807483704,3767.76582156
40,2019/01/01 19:16,0.08127526807483704,3770.43893801
41,2019/01/01 19:17,0.08127526807483704,3770.43893801
42,2019/01/01 19:18,0.08127526807483704,3767.30858417
43,2019/01/01 19:19,0.08127526807483704,3767.30858417
44,2019/01/01 19:20,0.07840170485644624,3767.30858417
45,2019/01/01 19:21,0.07840170485644624,3761.74918361
46,2019/01/01 19:22,0.07552814163805542,3761.74918361
47,2019/01/01 19:23,0.07466986730125934,3761.74918361
48,2019/01/01 19:24,0.07466986730125934,3774.81344914
49,2019/01/01 19:25,0.07466986730125934,3774.81344914
50,2019/01/01 19:26,0.07289429911944116,3774.81344914
51,2019/01/01 19:27,0.07289429911944116,3771.68609598
52,2019/01/01 19:28,0.07289429911944116,3771.68609598
53,2019/01/01 19:30,0.07289429911944116,3776.08954999
54,2019/01/01 19:31,0.07573520821035026,3776.08954999
55,2019/01/01 19:32,0.07220035173160172,3776.08954999
56,2019/01/01 19:33,0.07201516654641654,3767.7729788
57,2019/01/01 19:34,0.07479294432419432,3767.7729788
58,2019/01/01 19:35,0.08216421336154482,3767.7729788
59,2019/01/01 19:36,0.08248564773349258,3765.98433963
60,2019/01/01 19:37,0.08248564773349258,3765.98433963
61,2019/01/01 19:38,0.08344478317225411,3765.98433963
62,2019/01/01 19:39,0.08154831082743015,3756.21511493
63,2019/01/01 19:40,0.08154831082743015,3756.21511493
64,2019/01/01 19:41,0.0790998619825867,3756.21511493
65,2019/01/01 19:42,0.08471783951067659,3762.53866405
66,2019/01/01 19:43,0.08471783951067659,3762.53866405
67,2019/01/01 19:44,0.08429649119606984,3762.53866405
68,2019/01/01 19:45,0.08710547996011479,3759.23701291
69,2019/01/01 19:46,0.08710547996011479,3759.23701291
70,2019/01/01 19:47,0.08710547996011479,3759.23701291
71,2019/01/01 19:48,0.08710547996011479,3764.01659911
72,2019/01/01 19:49,0.09171051911571572,3764.01659911
73,2019/01/02 12:29,0.1465636244908397,3821.81229797
74,2019/01/02 12:30,0.13706995360476376,3820.94350576
75,2019/01/02 12:31,0.13706995360476373,3820.94350576
76,2019/01/02 12:32,0.13432733757100848,3819.78266434
77,2019/01/02 12:33,0.12799822364695784,3819.78266434
78,2019/01/02 12:34,0.12799822364695784,3819.78266434
79,2019/01/02 12:35,0.14245973933473932,3816.97950687
80,2019/01/02 12:36,0.14245973933473932,3816.97950687
81,2019/01/02 12:37,0.14245973933473932,3816.97950687
82,2019/01/02 12:38,0.14245973933473932,3819.13257303
83,2019/01/02 12:39,0.14192227427986925,3819.13257303
84,2019/01/02 12:40,0.14318809706467933,3819.13257303
85,2019/01/02 12:41,0.14318809706467933,3819.13257303
86,2019/01/02 12:42,0.1377028649971688,3822.93148543
87,2019/01/02 12:43,0.1408674219591941,3822.93148543
88,2019/01/02 12:44,0.14267341454841453,3822.93148543
89,2019/01/02 12:45,0.14267341454841453,3827.85771997
90,2019/01/02 12:47,0.14908367095867098,3830.29580211
91,2019/01/02 12:48,0.14908367095867098,3830.29580211
92,2019/01/02 12:49,0.14804041773978482,3830.29580211
93,2019/01/02 12:50,0.1461899125180375,3830.29580211
94,2019/01/02 12:51,0.14520814405073665,3832.76954382
95,2019/01/02 12:52,0.14520814405073665,3832.76954382
